"","sts_copr_a_PROD_F_CA_I10_EU28","sts_copr_a_PROD_F_CC1_CA_I10_EU28","sts_copr_a_PROD_F_CC2_CA_I10_EU28","sts_inpr_a_PROD_MIG_ING_CA_I10_EU28","sts_inpr_a_PROD_MIG_CAG_CA_I10_EU28","sts_inpr_a_PROD_MIG_COG_CA_I10_EU28","sts_inpr_a_PROD_C_CA_I10_EU28","sts_inpr_a_PROD_C10_CA_I10_EU28","sts_inpr_a_PROD_B_CA_I10_EU28","sts_inpr_a_PROD_D_CA_I10_EU28","env_wasmun_DSP_I_KG_HAB_EU28","env_wasmun_DSP_I_RCV_E_KG_HAB_EU28","env_wasmun_DSP_L_OTH_KG_HAB_EU28","env_wasmun_GEN_KG_HAB_EU28","env_wasmun_RCV_E_KG_HAB_EU28","env_wasmun_RCY_C_D_KG_HAB_EU28","env_wasmun_RCY_M_KG_HAB_EU28","env_wasmun_TRT_KG_HAB_EU28","sdg_13_10_GHG_TOTX4_MEMONIA_I90_EU28","sdg_13_10_GHG_TOTX4_MEMONIA_T_HAB_EU28","sdg_13_10_GHG_TOTXMEMONIA_I90_EU28","sdg_13_10_GHG_TOTXMEMONIA_T_HAB_EU28","sdg_13_20_I00_EU28","sdg_12_30_C02KM_EU28","tai08_CH4_PC_CRF3_EU28","tai08_CH4_CO2E_PC_CRF3_EU28","tai08_CO2_PC_CRF3_EU28","tai08_GHG_PC_CRF3_EU28","tai08_N2O_PC_CRF3_EU28","tai08_N2O_CO2E_PC_CRF3_EU28","tran_hv_frtra_I10_EU28","tran_hv_psmod_PC_BUS_TOT_EU28","tran_hv_psmod_PC_CAR_EU28","tran_hv_psmod_PC_TRN_EU28","tran_hv_psmod_PC_TRN_BUS_TOT_AVD_EU28","tran_hv_pstra_I10_EU28","ttr00005_TOT_LOADED_MIO_TKM_EU28","ttr00005_TOT_LOADED_THS_T_EU28","ttr00009_TOTAL_THS_T_EU28","ttr00011_T_FRM_LD_NLD_TOT_TOTAL_EU28","ttr00012_PAS_PAS_CRD_TOTAL_TOT_EU28","sdg_07_10_I05_EU28","sdg_07_10_MTOE_EU28","sdg_07_10_TOE_HAB_EU28","t2020_rk200_TOTAL_KTOE_FC_OTH_HH_E_EU28","ten00123_FC_E_C0000X0350-0370_KTOE_EU28","ten00123_FC_E_C0350-0370_KTOE_EU28","ten00123_FC_E_E7000_KTOE_EU28","ten00123_FC_E_G3000_KTOE_EU28","ten00123_FC_E_H8000_KTOE_EU28","ten00123_FC_E_O4000XBIO_KTOE_EU28","ten00123_FC_E_P1000_KTOE_EU28","ten00123_FC_E_RA000_KTOE_EU28","ten00123_FC_E_S2000_KTOE_EU28","ten00123_FC_E_TOTAL_KTOE_EU28","ten00123_FC_E_W6100_6220_KTOE_EU28"
"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1986",NA,NA,NA,NA,NA,NA,NA,NA,133.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1987",NA,NA,NA,NA,NA,NA,NA,NA,132.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988",NA,NA,NA,NA,NA,NA,NA,NA,125.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989",NA,NA,NA,NA,NA,NA,NA,NA,115.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990",NA,NA,NA,NA,NA,98.3,88.3,74.9,118.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,12,100,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274172.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991",NA,NA,NA,87.4,81.4,97.2,86.3,76.7,125,78.7,NA,NA,NA,NA,NA,NA,NA,NA,98.2,11.8,96.6,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290929.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992",NA,NA,NA,85.4,78.7,95.6,85.1,77,124.6,79.5,NA,NA,NA,NA,NA,NA,NA,NA,95.3,11.4,94.1,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282472.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993",NA,NA,NA,81.3,70.7,93.7,80.4,77.6,127.9,80.1,NA,NA,NA,NA,NA,NA,NA,NA,93.6,11.2,92.3,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291977.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1994",NA,NA,NA,87.2,73.1,96.2,84.2,79.1,138.9,80.6,NA,NA,NA,NA,NA,NA,NA,NA,93.1,11.1,91.8,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281100.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995",NA,NA,NA,89.9,77.9,96.9,87,81.8,141.7,82.8,34,67,302,470,33,29,52,450,93.9,11.2,92.1,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285526.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996",96.5,NA,NA,88.2,78.8,94,86.1,82.8,144.4,82.8,34,67,295,482,33,33,59,455,96,11.4,93.8,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310115.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1997",95.4,NA,NA,93.7,82.5,95.5,89.8,84.8,141.5,83.5,36,72,298,496,35,36,66,472,94.4,11.2,92.2,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298430.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998",95.7,NA,NA,96.9,87.1,96.9,93.1,86.3,139.3,85,33,73,289,494,39,37,72,471,93.8,11.1,91.3,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298633.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1999",98.7,NA,NA,97.8,88.9,97.3,94.1,87.6,142.5,87.4,33,74,287,508,42,39,82,484,92.1,10.8,89.4,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294430.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000",101.8,103.7,96.7,103.2,95.4,98.7,98.7,88.8,137.2,90.6,33,79,287,521,46,48,83,497,92,10.8,89.9,10.2,100,NA,NA,NA,NA,NA,NA,NA,NA,10.4,82.5,7.1,17.5,105.7,NA,NA,NA,NA,NA,94,1618.5,3.32,291615.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001",102.9,104.4,98.4,102.2,95.8,99.2,98.7,90,133.2,92.4,33,81,277,519,48,50,88,496,92.9,10.9,90.3,10.2,99.7,NA,NA,NA,NA,NA,NA,NA,NA,10.2,82.8,7,17.2,105.4,NA,NA,NA,NA,NA,96.4,1658.3,3.39,306132.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002",103.4,104.8,99.2,101.7,93.8,98.9,97.9,91.7,133.5,93.2,33,84,268,525,51,53,95,501,92.2,10.8,89.9,10.2,99.3,NA,NA,NA,NA,NA,NA,NA,NA,9.8,83.4,6.8,16.6,106,NA,NA,NA,NA,NA,96.3,1656.7,3.38,299845.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003",105.2,107,98.7,102.4,94,98.4,98.2,92.1,129.4,96,32,84,254,513,53,53,97,489,93.8,10.9,92.1,10.4,99,NA,NA,NA,NA,NA,NA,NA,NA,9.8,83.6,6.6,16.4,105.5,NA,NA,NA,NA,NA,98.7,1699,3.46,309924.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004",106.4,108.4,97.7,105.4,97.5,99,100.6,94.1,127.2,98.1,33,90,239,512,56,57,99,485,94,10.9,91.7,10.3,97.8,NA,NA,NA,NA,NA,NA,NA,NA,9.7,83.5,6.7,16.5,104,NA,NA,NA,NA,NA,99.7,1715.1,3.47,309784.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005",109.4,110.8,101.9,106.4,100.7,100.1,102.4,96.1,120.2,99.7,36,96,223,515,60,58,105,483,93.5,10.8,91.3,10.2,96.8,NA,NA,NA,NA,NA,NA,NA,107.6,9.8,83.4,6.9,16.6,101.1,NA,NA,NA,NA,NA,100,1721,3.47,311345.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006",113.3,115.9,101.7,111.7,107.4,102.8,107.4,97.5,116.6,100.4,36,104,220,522,68,61,110,495,93.4,10.8,90.9,10.1,96.3,NA,NA,NA,NA,NA,NA,NA,107.6,9.6,83.4,7,16.6,99,NA,NA,NA,NA,NA,100.6,1731.1,3.48,308731.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",116.6,119.2,105,116,114.8,104.6,111.8,99.5,116.1,99.9,33,105,214,524,72,64,119,502,92.6,10.6,90.9,10.1,96.4,157.5,NA,NA,NA,NA,NA,NA,108.3,9.8,83.1,7.1,16.9,96.2,NA,NA,NA,NA,NA,99,1704,3.41,291036.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008",113,115,104.3,112.1,114,102.5,109.7,98.8,112,100.1,32,108,202,521,77,69,121,500,90.6,10.4,88,9.7,94.9,152.8,46.7,46.7,0.2,8.3,69.3,69.3,105.9,9.8,82.9,7.4,17.1,96.2,NA,NA,NA,NA,NA,98.8,1700.5,3.39,306584.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009",104.3,103.8,105.1,91.3,91.5,97.7,93.2,97.8,99.9,96,31,110,194,511,79,68,124,496,83.9,9.6,81,8.9,93.9,145,47.6,47.6,0.3,8.9,71.8,71.8,97.6,9.2,83.7,7.1,16.3,102.9,1699508,15215996,3466788,11347451,753231320,93,1599.7,3.18,303536.659,27736.602,4501.87,233239.054,241708.719,48594.157,419287.428,572.715,81375.698,41.774,1059439.722,2381.705
"2010",100,100,100,100,100,100,100,100,100,100,26,114,185,504,88,67,126,492,85.7,9.8,83.1,9.1,92.6,139.6,48,48,0.2,8.6,74.6,74.6,100,9.3,83.5,7.2,16.5,100,1756114,15045637,3670995,13117542,776047580,96.6,1663.2,3.3,324403.511,29569.172,5574.287,244109.632,264115.39,52874.035,414700.348,603.294,88606.074,40.986,1102889.772,2696.565
"2011",98.5,98.2,100.2,104.1,108.3,100.9,104.5,101.8,92.9,96.1,23,120,171,498,96,67,128,486,83.1,9.5,80.5,8.9,92.2,135.3,48.7,48.7,0.3,8.8,76.4,76.4,98.3,9.4,83.2,7.4,16.8,98.1,1740649,14997029,3786060,13542501,819727379,93.1,1602.9,3.18,289820.849,29097.702,5515.804,240139.125,238606.444,48587.196,401760.327,575.226,85394.304,72.999,1052828.977,3079.849
"2012",93.1,93.6,91.7,100.5,107.4,98.9,102.3,101.7,87.3,96.3,18,118,156,486,100,70,130,474,82.1,9.3,79.3,8.7,92,132,49,49,0.3,8.9,77,77,95.9,9.4,82.9,7.7,17.1,96.9,1687098,13962740,3742665,13314816,824759178,92.5,1592.2,3.16,304145.978,28198.771,5558.35,240915.567,247073.094,49801.177,388905.344,511.371,91952.81,50.182,1055984.702,3018.035
"2013",91.3,92,89.4,99.7,107.3,98.8,101.8,101.5,84.9,95.6,13,123,145,479,110,72,128,468,80.4,9.1,77.5,8.5,90.6,126.4,50,50,0.3,9.2,78,78,96.7,9.8,82.4,7.8,17.6,95.6,1711223,13772040,3719231,13397441,838920866,91.6,1576.7,3.12,307770.131,27522.241,5262.63,238784.974,252375.365,49708.079,384224.837,490.807,93270.839,40.986,1055133.647,3452.884
"2014",94.3,95.6,89.9,101.6,109.8,101.2,104,103,81,91.1,12,128,134,478,115,74,134,469,77.3,8.7,74.7,8.1,89.1,123.1,51.4,51.4,0.3,9.7,78.7,78.7,95.5,9.5,82.7,7.8,17.3,95,1719858,13989203,3790381,14453820,876859730,87.8,1511.8,2.98,270706.5,25932.797,5313.663,233223.798,222661.545,45859.631,379960.883,483.665,90164.954,32.872,1007260.671,3626.859
"2015",95,95.9,92.8,103,113.8,103.3,106.5,104.1,79.3,93.3,16,131,125,481,115,75,140,471,78,8.8,75.4,8.2,88.8,119.1,52,52,0.3,9.7,78.4,78.4,95.5,9.3,82.9,7.8,17.1,94.6,1764971,14123335,3840488,14583690,918249055,89.3,1536,3.02,282290.5,25722.223,5296.944,236809.594,230220.341,46517.453,386694.041,459.346,94591.381,15.356,1029980.23,3653.554
"2016",96.7,98.2,92.2,104.7,116.3,104.7,108.4,105.6,77.7,94,11,136,118,489,125,82,144,482,77.7,8.7,75.1,8.1,87.8,117.6,52.7,52.7,0.3,9.7,78.7,78.7,96.6,9.1,83.1,7.8,16.9,94.8,1830131,14247091,3861617,15142564,972532157,89.7,1544.2,3.02,289970.6,25624.889,5086.993,239542.935,238860.074,48364.197,391825.249,446.179,96436.262,9.306,1050242.569,4046.492
"2017",100.1,101.8,95.3,109.4,121.5,106.5,112.3,107.4,76.6,95.2,4,140,115,492,135,84,145,485,78.2,8.7,76.3,8.3,86.5,118,52.8,52.8,0.3,9.7,78.6,78.6,97.6,8.7,83.4,7.9,16.6,93.8,1919291,14659322,3961164,16315002,1043072331,90.8,1561.8,3.05,288789.2,25702.82,4986.464,241292.738,239444.378,48561.348,394840.052,432.658,102709.623,19.062,1062067.836,4078.696
"2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,140,113,492,136,84,146,484,76.6,8.6,74.7,8.1,85,120.1,53.2,53.2,0.3,9.8,78.5,78.5,95.6,8.6,83.4,8,16.6,92.8,1922933,14655584,4067499,16607357,1105945842,90.2,1552.8,3.03,285204.8,24276.386,5252.601,241684.772,241319.473,47350.159,393002.343,462.112,105242.635,22.013,1063109.855,4497.354
"2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.8,8.2,72,7.8,82.6,NA,53.8,53.8,0.3,10.1,78.4,78.4,96.4,8.5,83.4,8.1,16.6,93.2,1980707,14997508,4073351,16013514,1146453686,88.7,1526.1,2.97,283990.8,21318.402,4869.784,239057.676,238170.17,47273.83,393134.178,435.331,107947.118,23.933,1056909.524,4679.098
"2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
